Tickler,Company,MarketCap_EUR,Price_EUR,Revenue_EUR,ISIN,Official_Xetra_Name,Primary_Market_MIC
CRS,Carpenter Technology Corporation,24525856513,493.1,2734612260,US1442851036,CARPENTER TECHNOLOGY DL 5,XNYS
OTIS,Otis Worldwide Corporation,24363351600,64.24,13051598300,US68902V1070,"OTIS WORLDWID.CORP DL-,01",XNYS
690D.DE,"Haier Smart Home Co., Ltd.",24338632971,1.8578,37335034498,CNE1000031C1,HAIER SMART HOME CO.D YC1,XFRA
XYL,Xylem Inc.,24300560235,104.8,7987987800,US98419M1009,"XYLEM INC.         DL-,01",XNYS
Q,"Qnity Electronics, Inc.",24213480025,118,4560313000,US74743L1008,QNITY ELECTRONICS O.N.,XNYS
FISV,"Fiserv, Inc.",24174882816,45.4,18264009800,US3377381088,"FISERV INC.        DL-,01",XNAS
DG,Dollar General Corporation,24154315052,109.75,36614051750,US2566771059,"DOLLAR GENER.CORP.DL-,875",XNYS
AMS.MC,"Amadeus IT Group, S.A.",24149233870,57.52,6591900000,ES0109067019,"AMADEUS IT GRP SA EO 0,01",XMAD
HPQ,HP Inc.,23771416912,25.2,48942250800,US40434L1052,"HP INC            DL -,01",XNYS
ZS,"Zscaler, Inc.",23597543291,144.56,2705145954,US98980G1022,"ZSCALER INC.      DL-,001",XNAS
HAL,Halliburton Company,23504422211,28.01,19583086900,US4062161017,"HALLIBURTON CO.   DL 2,50",XNYS
HUBB,Hubbell Incorporated,23489432390,444.79999,5447517080,US4435106079,"HUBBELL INC.       DL-,01",XNYS
CINF,Cincinnati Financial Corporation,23479669889,153.95,12213936200,US1720621010,CINCINNATI FINL      DL 2,XNAS
ML.PA,Compagnie Générale des Établissements Michelin Société en commandite par actions,23419203529,34.49,25651000000,FR001400AJ45,"MICHELIN  NOM.    EO -,50",XPAR
VWS.CO,Vestas Wind Systems A/S,23388382391,23.87,19320000000,DK0061539921,"VESTAS WIND SYS. DK -,20",XCSE
TEN.MI,Tenaris S.A.,23363063954,23.13,10538924482,LU2598331598,TENARIS S.A. DL 1,XMIL
RBLX,Roblox Corporation,23351770791,32,4976562790,US7710491033,"ROBLOX CORP.CL.A DL-,0001",XNYS
DSFIR.AS,DSM-Firmenich AG,23248579223,93.38,9055000000,CH1216478797,"DSM-FIRMENICH AG  EO -,01",XAMS
FSLR,"First Solar, Inc.",23244989723,220,4707425546,US3364331070,"FIRST SOLAR INC. D -,001",XNAS
MB.MI,Mediobanca Banca di Credito Finanziario S.p.A.,23099141407,28.62,2639292000,IT0000062957,"MEDIOBCA          EO 0,50",XMIL
